Indicator Code,Topic,Development relevance
NY.TAX.NIND.CD,Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators,
NY.TAX.NIND.CN,Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators,
NY.TAX.NIND.KN,Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators,
NY.TRF.NCTR.CD,Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators,
NY.TRF.NCTR.CN,Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators,
NY.TRF.NCTR.KN,Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators,
NY.TTF.GNFS.KN,Economic Policy & Debt: National accounts: Local currency at constant prices: Other items,
PA.NUS.ATLS,Financial Sector: Exchange rates & prices,
PA.NUS.FCRF,Financial Sector: Exchange rates & prices,"In a market-based economy, household, producer, and government choices about resource allocation are influenced by relative prices, including the real exchange rate, real wages, real interest rates, and other prices in the economy. Relative prices also largely reflect these agents' choices. Thus relative prices convey vital information about the interaction of economic agents in an economy and with the rest of the world."
PA.NUS.PPP,Economic Policy & Debt: Purchasing power parity,"PPP can be used to convert national accounts data, like GDP and its expenditure components, into a common currency, while also eliminating the effect of price level differences between countries. They can also be used to derive price level indexes (PLIs), the ratio of a country’s PPP to its market exchange rate, to directly compare price levels across countries.

PPPs and the PLIs and real (or PPP-adjusted) expenditures to which they give rise allow for many use-cases, but they are particularly valuable for empirical work involving comparisons of per capita consumption or levels of GDP (or other GDP aggregates) across countries and for the measurement of global poverty and global income inequality. The breadth and depth of ICP data allows its use-cases to cover other areas of economics, including empirical analyses of economic growth, productivity and trade, and even beyond, for instance, to help track global targets such as the UN Sustainable Development Goals related to health, education, energy and emissions and labor. Other applications of ICP data include their use in the construction of indexes, for example cost-of-living measures. Uses-cases can even be extended into the policymaking domain at all levels (global, regional and national) given the increased importance of cross-country benchmarking, among other possibilities.

Recommended uses of PPPs include: To make spatial comparisons of GDP and its expenditure components | To make spatial comparisons of price levels | To group countries by their per capita volume indexes and price level indexes

Recommended uses of PPPs with limitations  include: To analyze changes over time in relative GDP per capita and relative prices | To analyze price convergence | To make spatial comparisons of the cost of living | To use PPPs calculated for GDP and its expenditure components as deflators for other values."
PA.NUS.PPPC.RF,Economic Policy & Debt: Purchasing power parity,
PA.NUS.PRVT.PP,Economic Policy & Debt: Purchasing power parity,"PPP can be used to convert national accounts data, like GDP and its expenditure components, into a common currency, while also eliminating the effect of price level differences between countries. They can also be used to derive price level indexes (PLIs), the ratio of a country’s PPP to its market exchange rate, to directly compare price levels across countries.

PPPs and the PLIs and real (or PPP-adjusted) expenditures to which they give rise allow for many use-cases, but they are particularly valuable for empirical work involving comparisons of per capita consumption or levels of GDP (or other GDP aggregates) across countries and for the measurement of global poverty and global income inequality. The breadth and depth of ICP data allows its use-cases to cover other areas of economics, including empirical analyses of economic growth, productivity and trade, and even beyond, for instance, to help track global targets such as the UN Sustainable Development Goals related to health, education, energy and emissions and labor. Other applications of ICP data include their use in the construction of indexes, for example cost-of-living measures. Uses-cases can even be extended into the policymaking domain at all levels (global, regional and national) given the increased importance of cross-country benchmarking, among other possibilities.

Recommended uses of PPPs include: To make spatial comparisons of GDP and its expenditure components | To make spatial comparisons of price levels | To group countries by their per capita volume indexes and price level indexes

Recommended uses of PPPs with limitations  include: To analyze changes over time in relative GDP per capita and relative prices | To analyze price convergence | To make spatial comparisons of the cost of living | To use PPPs calculated for GDP and its expenditure components as deflators for other values."
per_allsp.adq_pop_tot,Social Protection & Labor: Performance,
per_allsp.ben_q1_tot,Social Protection & Labor: Performance,
per_allsp.cov_pop_tot,Social Protection & Labor: Performance,
per_lm_alllm.adq_pop_tot,Social Protection & Labor: Performance,
per_lm_alllm.ben_q1_tot,Social Protection & Labor: Performance,
per_lm_alllm.cov_pop_tot,Social Protection & Labor: Performance,
per_lm_alllm.cov_q1_tot,Social Protection & Labor: Performance,
per_lm_alllm.cov_q2_tot,Social Protection & Labor: Performance,
per_lm_alllm.cov_q3_tot,Social Protection & Labor: Performance,
per_lm_alllm.cov_q4_tot,Social Protection & Labor: Performance,
per_lm_alllm.cov_q5_tot,Social Protection & Labor: Performance,
per_sa_allsa.adq_pop_tot,Social Protection & Labor: Performance,
per_sa_allsa.ben_q1_tot,Social Protection & Labor: Performance,
per_sa_allsa.cov_pop_tot,Social Protection & Labor: Performance,
per_sa_allsa.cov_q1_tot,Social Protection & Labor: Performance,
per_sa_allsa.cov_q2_tot,Social Protection & Labor: Performance,
per_sa_allsa.cov_q3_tot,Social Protection & Labor: Performance,
per_sa_allsa.cov_q4_tot,Social Protection & Labor: Performance,
per_sa_allsa.cov_q5_tot,Social Protection & Labor: Performance,
per_si_allsi.adq_pop_tot,Social Protection & Labor: Performance,
per_si_allsi.ben_q1_tot,Social Protection & Labor: Performance,
per_si_allsi.cov_pop_tot,Social Protection & Labor: Performance,
per_si_allsi.cov_q1_tot,Social Protection & Labor: Performance,
per_si_allsi.cov_q2_tot,Social Protection & Labor: Performance,
per_si_allsi.cov_q3_tot,Social Protection & Labor: Performance,
per_si_allsi.cov_q4_tot,Social Protection & Labor: Performance,
per_si_allsi.cov_q5_tot,Social Protection & Labor: Performance,
PV.EST,Public Sector: Policy & institutions,
PV.NO.SRC,Public Sector: Policy & institutions,
PV.PER.RNK,Public Sector: Policy & institutions,
PV.PER.RNK.LOWER,Public Sector: Policy & institutions,
PV.PER.RNK.UPPER,Public Sector: Policy & institutions,
PV.STD.ERR,Public Sector: Policy & institutions,
PX.REX.REER,Financial Sector: Exchange rates & prices,"In a market-based economy, household, producer, and government choices about resource allocation are influenced by relative prices, including the real exchange rate, real wages, real interest rates, and other prices in the economy. Relative prices also largely reflect these agents' choices. Thus relative prices convey vital information about the interaction of economic agents in an economy and with the rest of the world."
RL.EST,Public Sector: Policy & institutions,
RL.NO.SRC,Public Sector: Policy & institutions,
RL.PER.RNK,Public Sector: Policy & institutions,
RL.PER.RNK.LOWER,Public Sector: Policy & institutions,
RL.PER.RNK.UPPER,Public Sector: Policy & institutions,
RL.STD.ERR,Public Sector: Policy & institutions,
RQ.EST,Public Sector: Policy & institutions,
RQ.NO.SRC,Public Sector: Policy & institutions,
RQ.PER.RNK,Public Sector: Policy & institutions,
RQ.PER.RNK.LOWER,Public Sector: Policy & institutions,
RQ.PER.RNK.UPPER,Public Sector: Policy & institutions,
RQ.STD.ERR,Public Sector: Policy & institutions,
SE.ADT.1524.LT.FE.ZS,Education: Outcomes,"Literacy rate is an outcome indicator to evaluate educational attainment. This data can predict the quality of future labor force and can be used in ensuring policies for life skills for men and women.

It can be also used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.

Literate women implies that they can seek and use information for the betterment of the health, nutrition and education of their household members. Literate women are also empowered to play a meaningful role."
SE.ADT.1524.LT.FM.ZS,Education: Outcomes,"Literacy rate is an outcome indicator to evaluate educational attainment. This data can predict the quality of future labor force and can be used in ensuring policies for life skills for men and women.

It can be also used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.

The Gender Parity Index (GPI) indicates parity between girls and boys. A GPI of less than 1 suggests girls are more disadvantaged than boys in learning opportunities and a GPI of greater than 1 suggests the other way around. Eliminating gender disparities in education would help increase the status and capabilities of women. Literate women implies that they can seek and use information for the betterment of the health, nutrition and education of their household members. Literate women are also empowered to play a meaningful role."
SE.ADT.1524.LT.MA.ZS,Education: Outcomes,"Literacy rate is an outcome indicator to evaluate educational attainment. This data can predict the quality of future labor force and can be used in ensuring policies for life skills for men and women.

It can be also used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.

Literate women implies that they can seek and use information for the betterment of the health, nutrition and education of their household members. Literate women are also empowered to play a meaningful role."
SE.ADT.1524.LT.ZS,Education: Outcomes,"Literacy rate is an outcome indicator to evaluate educational attainment. This data can predict the quality of future labor force and can be used in ensuring policies for life skills for men and women.

It can be also used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.

Literate women implies that they can seek and use information for the betterment of the health, nutrition and education of their household members. Literate women are also empowered to play a meaningful role."
SE.ADT.LITR.FE.ZS,Education: Outcomes,"Literacy rate is an outcome indicator to evaluate educational attainment. This data can predict the quality of future labor force and can be used in ensuring policies for life skills for men and women.

It can be also used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.

Literate women implies that they can seek and use information for the betterment of the health, nutrition and education of their household members. Literate women are also empowered to play a meaningful role."
SE.ADT.LITR.MA.ZS,Education: Outcomes,"Literacy rate is an outcome indicator to evaluate educational attainment. This data can predict the quality of future labor force and can be used in ensuring policies for life skills for men and women.

It can be also used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.

Literate women implies that they can seek and use information for the betterment of the health, nutrition and education of their household members. Literate women are also empowered to play a meaningful role."
SE.ADT.LITR.ZS,Education: Outcomes,"Literacy rate is an outcome indicator to evaluate educational attainment. This data can predict the quality of future labor force and can be used in ensuring policies for life skills for men and women.

It can be also used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.

Literate women implies that they can seek and use information for the betterment of the health, nutrition and education of their household members. Literate women are also empowered to play a meaningful role."
SE.COM.DURS,Education: Outcomes,
SE.ENR.PRIM.FM.ZS,Education: Participation,The Gender Parity Index (GPI) indicates parity between girls and boys. A GPI of less than 1 suggests girls are more disadvantaged than boys in learning opportunities and a GPI of greater than 1 suggests the other way around. Eliminating gender disparities in education would help increase the status and capabilities of women.
SE.ENR.PRSC.FM.ZS,Education: Participation,The Gender Parity Index (GPI) indicates parity between girls and boys. A GPI of less than 1 suggests girls are more disadvantaged than boys in learning opportunities and a GPI of greater than 1 suggests the other way around. Eliminating gender disparities in education would help increase the status and capabilities of women.
SE.ENR.SECO.FM.ZS,Education: Participation,The Gender Parity Index (GPI) indicates parity between girls and boys. A GPI of less than 1 suggests girls are more disadvantaged than boys in learning opportunities and a GPI of greater than 1 suggests the other way around. Eliminating gender disparities in education would help increase the status and capabilities of women.
SE.ENR.TERT.FM.ZS,Education: Participation,The Gender Parity Index (GPI) indicates parity between girls and boys. A GPI of less than 1 suggests girls are more disadvantaged than boys in learning opportunities and a GPI of greater than 1 suggests the other way around. Eliminating gender disparities in education would help increase the status and capabilities of women.
SE.LPV.PRIM,Education: Outcomes,"Ensuring that all students read with comprehension is essential to achieving the ambitious SDG targets and to building human capital. Children need to learn to read so that they can read to learn. Those who do not become proficient in reading by the end of primary school often cannot catch up later, because the curriculum of every school system assumes that secondary-school students can learn through reading. Reading is a gateway to all types of academic learning.  In high-income countries, 90% of all children learn to read with comprehension before the end of primary school, and for the highest-performing countries, the figure reaches 97% or more. Yet past evidence from many low- and middle-income countries has shown that many children are not learning to read with comprehension in primary school. 
The LP indicator illustrates progress toward SDG 4’s broader goal of ensuring inclusive and equitable quality education for all. It particularly highlights progress towards SDG 4.1.1(b) and SDG 4.1.4, which specifies that all children attend primary school and reach at least a minimum proficiency level in reading at the end of primary. The indicator is also aligned with the World Bank’s Human Capital Project, which aims to ensure that children reach their full potential in school and in life. The ability to read with comprehension is a foundational skill that every education system around the world strives to impart by late in primary school—generally by age 10. Moreover, attaining the ambitious Sustainable Development Goals (SDGs) in education requires first to achieving this basic building block, and so does improving countries’ Human Capital Index scores."
SE.LPV.PRIM.FE,Education: Outcomes,"Ensuring that all students read with comprehension is essential to achieving the ambitious SDG targets and to building human capital. Children need to learn to read so that they can read to learn. Those who do not become proficient in reading by the end of primary school often cannot catch up later, because the curriculum of every school system assumes that secondary-school students can learn through reading. Reading is a gateway to all types of academic learning.  In high-income countries, 90% of all children learn to read with comprehension before the end of primary school, and for the highest-performing countries, the figure reaches 97% or more. Yet past evidence from many low- and middle-income countries has shown that many children are not learning to read with comprehension in primary school. 
The LP indicator illustrates progress toward SDG 4’s broader goal of ensuring inclusive and equitable quality education for all. It particularly highlights progress towards SDG 4.1.1(b) and SDG 4.1.4, which specifies that all children attend primary school and reach at least a minimum proficiency level in reading at the end of primary. The indicator is also aligned with the World Bank’s Human Capital Project, which aims to ensure that children reach their full potential in school and in life. The ability to read with comprehension is a foundational skill that every education system around the world strives to impart by late in primary school—generally by age 10. Moreover, attaining the ambitious Sustainable Development Goals (SDGs) in education requires first to achieving this basic building block, and so does improving countries’ Human Capital Index scores."
SE.LPV.PRIM.LD,Education: Outcomes,"Ensuring that all students read with comprehension is essential to achieving the ambitious SDG targets and to building human capital. Children need to learn to read so that they can read to learn. Those who do not become proficient in reading by the end of primary school often cannot catch up later, because the curriculum of every school system assumes that secondary-school students can learn through reading. Reading is a gateway to all types of academic learning.  In high-income countries, 90% of all children learn to read with comprehension before the end of primary school, and for the highest-performing countries, the figure reaches 97% or more. Yet past evidence from many low- and middle-income countries has shown that many children are not learning to read with comprehension in primary school. 
The LP indicator illustrates progress toward SDG 4’s broader goal of ensuring inclusive and equitable quality education for all. It particularly highlights progress towards SDG 4.1.1(b) and SDG 4.1.4, which specifies that all children attend primary school and reach at least a minimum proficiency level in reading at the end of primary. The indicator is also aligned with the World Bank’s Human Capital Project, which aims to ensure that children reach their full potential in school and in life. The ability to read with comprehension is a foundational skill that every education system around the world strives to impart by late in primary school—generally by age 10. Moreover, attaining the ambitious Sustainable Development Goals (SDGs) in education requires first to achieving this basic building block, and so does improving countries’ Human Capital Index scores."
SE.LPV.PRIM.LD.FE,Education: Outcomes,"Ensuring that all students read with comprehension is essential to achieving the ambitious SDG targets and to building human capital. Children need to learn to read so that they can read to learn. Those who do not become proficient in reading by the end of primary school often cannot catch up later, because the curriculum of every school system assumes that secondary-school students can learn through reading. Reading is a gateway to all types of academic learning.  In high-income countries, 90% of all children learn to read with comprehension before the end of primary school, and for the highest-performing countries, the figure reaches 97% or more. Yet past evidence from many low- and middle-income countries has shown that many children are not learning to read with comprehension in primary school. 
The LP indicator illustrates progress toward SDG 4’s broader goal of ensuring inclusive and equitable quality education for all. It particularly highlights progress towards SDG 4.1.1(b) and SDG 4.1.4, which specifies that all children attend primary school and reach at least a minimum proficiency level in reading at the end of primary. The indicator is also aligned with the World Bank’s Human Capital Project, which aims to ensure that children reach their full potential in school and in life. The ability to read with comprehension is a foundational skill that every education system around the world strives to impart by late in primary school—generally by age 10. Moreover, attaining the ambitious Sustainable Development Goals (SDGs) in education requires first to achieving this basic building block, and so does improving countries’ Human Capital Index scores."
SE.LPV.PRIM.LD.MA,Education: Outcomes,"Ensuring that all students read with comprehension is essential to achieving the ambitious SDG targets and to building human capital. Children need to learn to read so that they can read to learn. Those who do not become proficient in reading by the end of primary school often cannot catch up later, because the curriculum of every school system assumes that secondary-school students can learn through reading. Reading is a gateway to all types of academic learning.  In high-income countries, 90% of all children learn to read with comprehension before the end of primary school, and for the highest-performing countries, the figure reaches 97% or more. Yet past evidence from many low- and middle-income countries has shown that many children are not learning to read with comprehension in primary school. 
The LP indicator illustrates progress toward SDG 4’s broader goal of ensuring inclusive and equitable quality education for all. It particularly highlights progress towards SDG 4.1.1(b) and SDG 4.1.4, which specifies that all children attend primary school and reach at least a minimum proficiency level in reading at the end of primary. The indicator is also aligned with the World Bank’s Human Capital Project, which aims to ensure that children reach their full potential in school and in life. The ability to read with comprehension is a foundational skill that every education system around the world strives to impart by late in primary school—generally by age 10. Moreover, attaining the ambitious Sustainable Development Goals (SDGs) in education requires first to achieving this basic building block, and so does improving countries’ Human Capital Index scores."
SE.LPV.PRIM.MA,Education: Outcomes,"Ensuring that all students read with comprehension is essential to achieving the ambitious SDG targets and to building human capital. Children need to learn to read so that they can read to learn. Those who do not become proficient in reading by the end of primary school often cannot catch up later, because the curriculum of every school system assumes that secondary-school students can learn through reading. Reading is a gateway to all types of academic learning.  In high-income countries, 90% of all children learn to read with comprehension before the end of primary school, and for the highest-performing countries, the figure reaches 97% or more. Yet past evidence from many low- and middle-income countries has shown that many children are not learning to read with comprehension in primary school. 
The LP indicator illustrates progress toward SDG 4’s broader goal of ensuring inclusive and equitable quality education for all. It particularly highlights progress towards SDG 4.1.1(b) and SDG 4.1.4, which specifies that all children attend primary school and reach at least a minimum proficiency level in reading at the end of primary. The indicator is also aligned with the World Bank’s Human Capital Project, which aims to ensure that children reach their full potential in school and in life. The ability to read with comprehension is a foundational skill that every education system around the world strives to impart by late in primary school—generally by age 10. Moreover, attaining the ambitious Sustainable Development Goals (SDGs) in education requires first to achieving this basic building block, and so does improving countries’ Human Capital Index scores."
SE.LPV.PRIM.SD,Education: Outcomes,"Ensuring that all students read with comprehension is essential to achieving the ambitious SDG targets and to building human capital. Children need to learn to read so that they can read to learn. Those who do not become proficient in reading by the end of primary school often cannot catch up later, because the curriculum of every school system assumes that secondary-school students can learn through reading. Reading is a gateway to all types of academic learning.  In high-income countries, 90% of all children learn to read with comprehension before the end of primary school, and for the highest-performing countries, the figure reaches 97% or more. Yet past evidence from many low- and middle-income countries has shown that many children are not learning to read with comprehension in primary school. 
The LP indicator illustrates progress toward SDG 4’s broader goal of ensuring inclusive and equitable quality education for all. It particularly highlights progress towards SDG 4.1.1(b) and SDG 4.1.4, which specifies that all children attend primary school and reach at least a minimum proficiency level in reading at the end of primary. The indicator is also aligned with the World Bank’s Human Capital Project, which aims to ensure that children reach their full potential in school and in life. The ability to read with comprehension is a foundational skill that every education system around the world strives to impart by late in primary school—generally by age 10. Moreover, attaining the ambitious Sustainable Development Goals (SDGs) in education requires first to achieving this basic building block, and so does improving countries’ Human Capital Index scores."
SE.LPV.PRIM.SD.FE,Education: Outcomes,"Ensuring that all students read with comprehension is essential to achieving the ambitious SDG targets and to building human capital. Children need to learn to read so that they can read to learn. Those who do not become proficient in reading by the end of primary school often cannot catch up later, because the curriculum of every school system assumes that secondary-school students can learn through reading. Reading is a gateway to all types of academic learning.  In high-income countries, 90% of all children learn to read with comprehension before the end of primary school, and for the highest-performing countries, the figure reaches 97% or more. Yet past evidence from many low- and middle-income countries has shown that many children are not learning to read with comprehension in primary school. 
The LP indicator illustrates progress toward SDG 4’s broader goal of ensuring inclusive and equitable quality education for all. It particularly highlights progress towards SDG 4.1.1(b) and SDG 4.1.4, which specifies that all children attend primary school and reach at least a minimum proficiency level in reading at the end of primary. The indicator is also aligned with the World Bank’s Human Capital Project, which aims to ensure that children reach their full potential in school and in life. The ability to read with comprehension is a foundational skill that every education system around the world strives to impart by late in primary school—generally by age 10. Moreover, attaining the ambitious Sustainable Development Goals (SDGs) in education requires first to achieving this basic building block, and so does improving countries’ Human Capital Index scores."
SE.LPV.PRIM.SD.MA,Education: Outcomes,"Ensuring that all students read with comprehension is essential to achieving the ambitious SDG targets and to building human capital. Children need to learn to read so that they can read to learn. Those who do not become proficient in reading by the end of primary school often cannot catch up later, because the curriculum of every school system assumes that secondary-school students can learn through reading. Reading is a gateway to all types of academic learning.  In high-income countries, 90% of all children learn to read with comprehension before the end of primary school, and for the highest-performing countries, the figure reaches 97% or more. Yet past evidence from many low- and middle-income countries has shown that many children are not learning to read with comprehension in primary school. 
The LP indicator illustrates progress toward SDG 4’s broader goal of ensuring inclusive and equitable quality education for all. It particularly highlights progress towards SDG 4.1.1(b) and SDG 4.1.4, which specifies that all children attend primary school and reach at least a minimum proficiency level in reading at the end of primary. The indicator is also aligned with the World Bank’s Human Capital Project, which aims to ensure that children reach their full potential in school and in life. The ability to read with comprehension is a foundational skill that every education system around the world strives to impart by late in primary school—generally by age 10. Moreover, attaining the ambitious Sustainable Development Goals (SDGs) in education requires first to achieving this basic building block, and so does improving countries’ Human Capital Index scores."
SE.PRE.DURS,Education: Inputs,
SE.PRE.ENRL.TC.ZS,Education: Inputs,"The pupil-teacher ratio is often used to compare the quality of schooling across countries, but it is often weakly related to student learning and quality of education."
SE.PRE.ENRR,Education: Participation,"Gross enrollment ratios indicate the capacity of each level of the education system, but a high ratio may reflect a substantial number of overage children enrolled in each grade because of repetition or late entry rather than a successful education system. The net enrollment rate excludes overage and underage students and more accurately captures the system's coverage and internal efficiency. Differences between the gross enrollment ratio and the net enrollment rate show the incidence of overage and underage enrollments."
SE.PRE.ENRR.FE,Education: Participation,"Gross enrollment ratios indicate the capacity of each level of the education system, but a high ratio may reflect a substantial number of overage children enrolled in each grade because of repetition or late entry rather than a successful education system. The net enrollment rate excludes overage and underage students and more accurately captures the system's coverage and internal efficiency. Differences between the gross enrollment ratio and the net enrollment rate show the incidence of overage and underage enrollments."
SE.PRE.ENRR.MA,Education: Participation,"Gross enrollment ratios indicate the capacity of each level of the education system, but a high ratio may reflect a substantial number of overage children enrolled in each grade because of repetition or late entry rather than a successful education system. The net enrollment rate excludes overage and underage students and more accurately captures the system's coverage and internal efficiency. Differences between the gross enrollment ratio and the net enrollment rate show the incidence of overage and underage enrollments."
SE.PRE.TCAQ.FE.ZS,Education: Inputs,"Trained teachers refer to teaching force with the necessary pedagogical skills to teach and use teaching materials in an effective manner. The share of trained teachers reveals a country's commitment to investing in the development of its human capital engaged in teaching.

Teachers are important resource, especially for children who are the first-generation of receiving education in their families and heavily rely on teachers in acquiring basic literacy skills. However, rapid increase in enrollments may cause the shortage of trained teachers. Education finance is a key for appropriate teacher allocations, since teacher salaries account for a large share of education budgets. The shortage of trained teacher may result in low qualified teachers in more disadvantaged area."
SE.PRE.TCAQ.MA.ZS,Education: Inputs,"Trained teachers refer to teaching force with the necessary pedagogical skills to teach and use teaching materials in an effective manner. The share of trained teachers reveals a country's commitment to investing in the development of its human capital engaged in teaching.

Teachers are important resource, especially for children who are the first-generation of receiving education in their families and heavily rely on teachers in acquiring basic literacy skills. However, rapid increase in enrollments may cause the shortage of trained teachers. Education finance is a key for appropriate teacher allocations, since teacher salaries account for a large share of education budgets. The shortage of trained teacher may result in low qualified teachers in more disadvantaged area."
SE.PRE.TCAQ.ZS,Education: Inputs,"Trained teachers refer to teaching force with the necessary pedagogical skills to teach and use teaching materials in an effective manner. The share of trained teachers reveals a country's commitment to investing in the development of its human capital engaged in teaching.

Teachers are important resource, especially for children who are the first-generation of receiving education in their families and heavily rely on teachers in acquiring basic literacy skills. However, rapid increase in enrollments may cause the shortage of trained teachers. Education finance is a key for appropriate teacher allocations, since teacher salaries account for a large share of education budgets. The shortage of trained teacher may result in low qualified teachers in more disadvantaged area."
SE.PRM.AGES,Education: Inputs,
SE.PRM.CMPT.FE.ZS,Education: Outcomes,"The World Bank and the UNESCO Institute for Statistics jointly developed the primary completion rate indicator. Increasingly used as a core indicator of an education system's performance, it reflects an education system's coverage and the educational attainment of students."
SE.PRM.CMPT.MA.ZS,Education: Outcomes,"The World Bank and the UNESCO Institute for Statistics jointly developed the primary completion rate indicator. Increasingly used as a core indicator of an education system's performance, it reflects an education system's coverage and the educational attainment of students."
SE.PRM.CMPT.ZS,Education: Outcomes,"The World Bank and the UNESCO Institute for Statistics jointly developed the primary completion rate indicator. Increasingly used as a core indicator of an education system's performance, it reflects an education system's coverage and the educational attainment of students."
SE.PRM.CUAT.FE.ZS,Education: Outcomes,"A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital."
SE.PRM.CUAT.MA.ZS,Education: Outcomes,"A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital."
SE.PRM.CUAT.ZS,Education: Outcomes,"A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital."
SE.PRM.DURS,Education: Outcomes,
SE.PRM.ENRL,Education: Participation,
SE.PRM.ENRL.FE.ZS,Education: Participation,The share of girls allows an assessment on gender composition in school enrollment. A value greater than 50% indicates participation of more girls at a specific level or programme of education.
SE.PRM.ENRL.TC.ZS,Education: Inputs,"The pupil-teacher ratio is often used to compare the quality of schooling across countries, but it is often weakly related to student learning and quality of education."
SE.PRM.ENRR,Education: Participation,"Gross enrollment ratios indicate the capacity of each level of the education system, but a high ratio may reflect a substantial number of overage children enrolled in each grade because of repetition or late entry rather than a successful education system. The net enrollment rate excludes overage and underage students and more accurately captures the system's coverage and internal efficiency. Differences between the gross enrollment ratio and the net enrollment rate show the incidence of overage and underage enrollments."
SE.PRM.ENRR.FE,Education: Participation,"Gross enrollment ratios indicate the capacity of each level of the education system, but a high ratio may reflect a substantial number of overage children enrolled in each grade because of repetition or late entry rather than a successful education system. The net enrollment rate excludes overage and underage students and more accurately captures the system's coverage and internal efficiency. Differences between the gross enrollment ratio and the net enrollment rate show the incidence of overage and underage enrollments."
SE.PRM.ENRR.MA,Education: Participation,"Gross enrollment ratios indicate the capacity of each level of the education system, but a high ratio may reflect a substantial number of overage children enrolled in each grade because of repetition or late entry rather than a successful education system. The net enrollment rate excludes overage and underage students and more accurately captures the system's coverage and internal efficiency. Differences between the gross enrollment ratio and the net enrollment rate show the incidence of overage and underage enrollments."
SE.PRM.GINT.FE.ZS,Education: Efficiency,"The gross intake ratio in the first grade of primary education indicates the level of access to primary education and the education system's capacity to provide access to primary education. A low gross intake ratio in the first grade of primary education reflects the fact that many children do not enter primary education even though school attendance, at least through the primary level, is mandatory in most countries. Because the gross intake ratio includes all new entrants regardless of age, it can exceed 100 percent in some situations, such as immediately after fees have been abolished or when the number of reenrolled children is large."
SE.PRM.GINT.MA.ZS,Education: Efficiency,"The gross intake ratio in the first grade of primary education indicates the level of access to primary education and the education system's capacity to provide access to primary education. A low gross intake ratio in the first grade of primary education reflects the fact that many children do not enter primary education even though school attendance, at least through the primary level, is mandatory in most countries. Because the gross intake ratio includes all new entrants regardless of age, it can exceed 100 percent in some situations, such as immediately after fees have been abolished or when the number of reenrolled children is large."
SE.PRM.GINT.ZS,Education: Efficiency,"The gross intake ratio in the first grade of primary education indicates the level of access to primary education and the education system's capacity to provide access to primary education. A low gross intake ratio in the first grade of primary education reflects the fact that many children do not enter primary education even though school attendance, at least through the primary level, is mandatory in most countries. Because the gross intake ratio includes all new entrants regardless of age, it can exceed 100 percent in some situations, such as immediately after fees have been abolished or when the number of reenrolled children is large."
SE.PRM.NENR,Education: Participation,"Gross enrollment ratios indicate the capacity of each level of the education system, but a high ratio may reflect a substantial number of overage children enrolled in each grade because of repetition or late entry rather than a successful education system. The net enrollment rate excludes overage and underage students and more accurately captures the system's coverage and internal efficiency. Differences between the gross enrollment ratio and the net enrollment rate show the incidence of overage and underage enrollments."
